ID,Row,Column,Area,BaseLandUseType,CarbonMax,CarbonMin,Cattle,CornYield,DrainageClass,Erosion,FloodFrequency,Group,NitratesPPM,PIndex,Sediment,SoilType,SoybeanYield,StreamNetwork,Subwatershed,Timber,Topography,WatershedNitrogenContribution,StrategicWetland,riverStreams,LandTypeYear1,LandTypeYear2,LandTypeYear3,PrecipYear0,PrecipYear1,PrecipYear2,PrecipYear3
35,5,3,10,1,18980,486,17.5,2350,30,1.5,0,,3,23.6,1.116071429,A,68.15,0,1,2450,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
36,5,4,10,1,18980,486,17.5,2350,30,1.5,0,,3,23.6,1.116071429,A,68.15,0,1,2450,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
37,5,5,10,1,18980,486,17.5,2140,30,1.5,0,,1,57.2,0.595238095,A,62.06,0,1,850,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
38,5,6,10,1,18980,486,17.5,2140,30,1.5,0,,1,57.2,0.595238095,A,62.06,0,1,850,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
39,5,7,10,1,18980,486,17.5,2140,30,1.5,0,,3,23.6,1.116071429,A,62.06,0,1,850,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
40,5,8,10,1,18980,486,17.5,2140,30,1.5,0,,3,23.6,1.116071429,A,62.06,0,1,850,0,0.000203874,0,0,1,1,1,24.58,30.39,34.34,28.18
41,6,1,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,A,59.74,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
42,6,2,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,A,59.74,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
43,6,3,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,A,59.74,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
44,6,4,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,A,59.74,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
45,6,5,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,A,59.74,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
46,6,6,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,A,59.74,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
47,6,7,10,1,18980,486,17.5,2060,30,1.5,0,,1,57.2,0.595238095,A,59.74,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
48,6,8,10,1,18980,486,17.5,2060,30,1.5,0,,3,23.6,1.116071429,A,59.74,0,1,2750,0,0.000611621,0,0,1,1,1,24.58,30.39,34.34,28.18
