LU_ID,Land-Use,Sub Crop,PerAcreORPerYield,TopographySlopes,StreamBorder,Year,Time of Year,Frequency,Time - Cost Type,Action - Cost Type,Fixed/Variable,Cost Name,# Labor Hours,Value,NPV,EAA,Description
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Lime ,,5.71,5.71,5.71,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Herbicide,,48.36,48.36,48.36,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Insecticide,,15.16,15.16,15.16,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Constant,Other,Variable,Crop Insurance,,9.5,9.5,9.5,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Constant,Other,Variable,Miscellaneous,,10,10,10,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Harvest,Equipment,Fixed,Combine ,,13.1,13.1,13.1,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Harvest,Equipment,Variable,Combine,,6.7,6.7,6.7,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Harvest,Equipment,Fixed,Grain Cart ,,6.3,6.3,6.3,
1,Conventional Corn,Corn after Corn,,,,1,,Annual,Harvest,Equipment,Variable,Grain Cart ,,3,3,3,
1,Conventional Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Fixed ,Haul ,,0.043648,0.043648,0.043648,$0.04/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Variable,Haul ,,0.03774,0.03774,0.03774,$0.04/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Fixed ,Drying ,,0.05,0.05,0.05,$0.05/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Variable ,Drying,,0.1656,0.1656,0.1656,$0.17/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Fixed,Handling ,,0.017628,0.017628,0.017628,$0.02/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Variable,Handling ,,0.019323,0.019323,0.019323,$0.02/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Corn,,,,1,1,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,2,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,3,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,4,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,5,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,6,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,7,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,8,Annual,Preharvest,Labor,Variable,Labor - Operator - Planting,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Corn,,,,1,9,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Corn,,,,1,10,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Corn,,,,1,11,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,12,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,13,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,14,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,15,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,16,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,17,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,18,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,19,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Corn,,,,1,20,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Corn,,,,1,21,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Corn,,,,1,22,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Corn,,,,1,23,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Corn,,,,1,24,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,4.6,4.6,4.6,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,3.4,3.4,3.4,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,4.3,4.3,4.3,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,4.4,4.4,4.4,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Fixed,Field cultivate ,,2.7,2.7,2.7,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Variable,Field cultivate ,,2.7,2.7,2.7,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Fixed,Plant ,,5.9,5.9,5.9,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Variable,Plant ,,4.8,4.8,4.8,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,2.2,2.2,2.2,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,2,2,2,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Input,Variable,Seed ,,95.8,95.8,95.8,"$3.19/1000 kernels * 30,000 kernels/acre"
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Input,Variable,Nitrogen,,49.78,49.78,49.78,$0.38/lb * 131 lbs/acre
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Input,Variable,Phosphate ,,31.08,31.08,31.08,$0.42/lb * 74 lbs/acre
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Input,Variable,Potash ,,18.29,18.29,18.29,$0.31/lb * 59 lbs/acre
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Input,Variable,Lime,,5.71,5.71,5.71,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,48.36,48.36,48.36,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Constant,Other,Variable,Crop Insurance,,9.5,9.5,9.5,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Constant,Other,Variable,Miscellaneous,,10,10,10,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Harvest,Equipment,Fixed,Combine ,,13.1,13.1,13.1,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Harvest,Equipment,Variable,Combine ,,6.7,6.7,6.7,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Harvest,Equipment,Fixed,Grain Cart ,,6.3,6.3,6.3,
1,Conventional Corn,Corn after Soybean,,,,1,,Annual,Harvest,Equipment,Variable,Grain Cart ,,3,3,3,
1,Conventional Corn,Corn after Soybean,per yield,,,1,,Annual,Harvest,Equipment,Fixed,Haul,,0.043648,0.043648,0.043648,$0.04/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Soybean,per yield,,,1,,Annual,Harvest,Equipment,Variable,Haul ,,0.03774,0.03774,0.03774,$0.04/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Soybean,per yield,,,1,,Annual,Harvest,Equipment,Fixed,Drying ,,0.05,0.05,0.05,$0.05/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Soybean,per yield,,,1,,Annual,Harvest,Equipment,Variable,Drying ,,0.1656,0.1656,0.1656,$0.17/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Soybean,per yield,,,1,,Annual,Harvest,Equipment,Fixed,Handling ,,0.017628,0.017628,0.017628,$0.02/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Soybean,per yield,,,1,,Annual,Harvest,Equipment,Variable,Handling ,,0.019323,0.019323,0.019323,$0.02/bushel * 182 bushels/acre
1,Conventional Corn,Corn after Soybean,,,,1,1,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,2,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,3,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,4,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,5,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,6,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,7,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,8,Annual,Preharvest,Labor,Variable,Labor - Operator - Planting,0.201315789,2.86875,2.86875,2.86875,2.55 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Soybean,,,,1,9,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.201315789,2.86875,2.86875,2.86875,2.55 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Soybean,,,,1,10,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.201315789,2.86875,2.86875,2.86875,2.55 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Soybean,,,,1,11,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,12,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,13,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,14,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,15,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,16,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,17,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,18,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,19,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.201315789,2.86875,2.86875,2.86875,2.55 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Soybean,,,,1,20,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.201315789,2.86875,2.86875,2.86875,2.55 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Soybean,,,,1,21,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.201315789,2.86875,2.86875,2.86875,2.55 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Soybean,,,,1,22,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.201315789,2.86875,2.86875,2.86875,2.55 hrs/acre * $14.25/hr * 3/38
1,Conventional Corn,Corn after Soybean,,,,1,23,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
1,Conventional Corn,Corn after Soybean,,,,1,24,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.95625,0.95625,0.95625,2.55 hrs/acre * $14.25/hr * 1/38
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Chisel plow ,,3.6,3.6,3.6,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Chisel plow ,,3.9,3.9,3.9,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,4.6,4.6,4.6,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,3.4,3.4,3.4,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,4.3,4.3,4.3,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,4.4,4.4,4.4,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Field cultivate ,,2.7,2.7,2.7,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Field cultivate ,,2.7,2.7,2.7,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Plant ,,5.9,5.9,5.9,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Plant ,,4.8,4.8,4.8,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,2.2,2.2,2.2,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,2,2,2,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Seed ,,95.8,95.8,95.8,"$3.19/1000 kernels * 30,000 kernels/acre"
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Nitrogen ,,70.68,70.68,70.68,$0.38/lb * 186 lbs/acre
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Phosphate,,28.56,28.56,28.56,$0.42/lb * 68 lbs/acre
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Potash ,,17.05,17.05,17.05,$0.31/lb * 55 lbs/acre
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Lime ,,5.71,5.71,5.71,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,48.36,48.36,48.36,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Insecticide,,15.16,15.16,15.16,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Constant,Other,Variable,Crop Insurance,,9.5,9.5,9.5,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Constant,Other,Variable,Miscellaneous,,10,10,10,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Harvest,Equipment,Fixed,Combine ,,13.1,13.1,13.1,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Harvest,Equipment,Variable,Combine,,6.7,6.7,6.7,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Harvest,Equipment,Fixed,Grain Cart ,,6.3,6.3,6.3,
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Harvest,Equipment,Variable,Grain Cart ,,3,3,3,
2,Conservation Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Fixed ,Haul ,,0.043648,0.043648,0.043648,$0.04/bushel * 182 bushels/acre
2,Conservation Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Variable,Haul ,,0.03774,0.03774,0.03774,$0.04/bushel * 182 bushels/acre
2,Conservation Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Fixed ,Drying ,,0.05,0.05,0.05,$0.05/bushel * 182 bushels/acre
2,Conservation Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Variable ,Drying ,,0.1656,0.1656,0.1656,$0.17/bushel * 182 bushels/acre
2,Conservation Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Fixed,Handling ,,0.017628,0.017628,0.017628,$0.02/bushel * 182 bushels/acre
2,Conservation Corn,Corn after Corn,per yield,,,1,,Annual,Harvest,Equipment,Variable,Handling,,0.019323,0.019323,0.019323,$0.02/bushel * 182 bushels/acre
2,Conservation Corn,Corn after Corn,,,,1,1,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,2,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,3,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,4,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,5,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,6,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,7,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,8,Annual,Preharvest,Labor,Variable,Labor - Operator - Planting,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * .078947368
2,Conservation Corn,Corn after Corn,,,,1,9,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * .078947368
2,Conservation Corn,Corn after Corn,,,,1,10,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * .078947368
2,Conservation Corn,Corn after Corn,,,,1,11,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,12,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,13,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,14,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,15,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,16,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,17,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,18,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,19,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * .078947368
2,Conservation Corn,Corn after Corn,,,,1,20,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * .078947368
2,Conservation Corn,Corn after Corn,,,,1,21,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * .078947368
2,Conservation Corn,Corn after Corn,,,,1,22,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,3.15,3.15,2.8 hrs/acre * $14.25/hr * .078947368
2,Conservation Corn,Corn after Corn,,,,1,23,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,24,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,1.05,1.05,2.8 hrs/acre * $14.25/hr * .026315789
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,-4.6,-4.6,-4.6,None when no-till active.
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,-3.4,-3.4,-3.4,None when no-till active.
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,1.23797,1.23797,1.23797,Kentucky comparison budgets show 28.79% increase in nitrogen costs for no-till
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,1.26676,1.26676,1.26676,Kentucky comparison budgets show 28.79% increase in nitrogen costs for no-till
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,1.46674,1.46674,1.46674,Kentucky comparison budgets show 66.67% increase for chemical inputs costs for no-till
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,1.3334,1.3334,1.3334,Kentucky comparison budgets show 66.67% increase for chemical inputs costs for no-till
2,Conservation Corn,Corn after Corn,,,,1,,Annual,Preharvest,Input,Variable,Nitrogen ,,20.348772,20.348772,20.348772,"$0.30/lb * 131 lbs/acre
//Kentucky comparison budgets show 28.79% increase in nitrogen costs for no-till"
