ID,Row,Column,Area,BaseLandUseType,CarbonMax,CarbonMin,Cattle,CornYield,DrainageClass,Erosion,FloodFrequency,Group,NitratesPPM,Pindex,Sediment,SoilType,SoybeanYield,StreamNetwork,Subwatershed,Timber,Topography,WatershedNitrogenContribution,Wetland,CurrentLandUse,CurrentLandUse,CurrentLandUse,PrecipYear0,PrecipYear1,PrecipYear2,PrecipYear3,riverStreams
54,3,8,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,4,4,4,24.58,30.39,34.34,28.18,0
55,3,9,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,3,0.000203874,0,13,13,13,24.58,30.39,34.34,28.18,0
56,3,10,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,4,4,4,24.58,30.39,34.34,28.18,0
57,3,11,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,3,3,3,24.58,30.39,34.34,28.18,0
58,3,12,10,1,18980,486,17.5,2350,30,1.5,0, ,3,23.6,1.116071429,Q,68.15,0,3,2750,2,0.000611621,0,9,9,9,24.58,30.39,34.34,28.18,0
59,3,13,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,7,7,7,24.58,30.39,34.34,28.18,0
60,3,14,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,1,1,1,24.58,30.39,34.34,28.18,0
61,3,15,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,10,10,10,24.58,30.39,34.34,28.18,0
62,3,16,10,1,18980,486,17.5,0,45,4.1,0, ,3,23.6,3.050595238,G,0,0,3,2450,5,0.000611621,0,12,12,12,24.58,30.39,34.34,28.18,0
63,3,17,10,1,18980,486,17.5,0,45,4.1,0, ,5,23.6,3.050595238,G,0,0,5,2450,5,0.001019368,0,2,2,2,24.58,30.39,34.34,28.18,0
64,3,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
65,3,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
66,3,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
67,3,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
68,3,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
69,3,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
70,4,1,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,3,0.000203874,0,8,8,8,24.58,30.39,34.34,28.18,0
71,4,2,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,3,0.000203874,0,3,3,3,24.58,30.39,34.34,28.18,0
72,4,3,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,1,0.000203874,0,12,12,12,24.58,30.39,34.34,28.18,0
73,4,4,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,3,3,3,24.58,30.39,34.34,28.18,0
74,4,5,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,14,14,14,24.58,30.39,34.34,28.18,0
75,4,6,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,3,0.000203874,0,14,14,14,24.58,30.39,34.34,28.18,0
76,4,7,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,3,0.000203874,0,4,4,4,24.58,30.39,34.34,28.18,0
77,4,8,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,13,13,13,24.58,30.39,34.34,28.18,0
78,4,9,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,3,3,3,24.58,30.39,34.34,28.18,0
79,4,10,10,1,18980,486,17.5,2080,30,1.5,0, ,2,23.6,1.116071429,A,60.32,0,3,2750,2,0.000407747,0,1,1,1,24.58,30.39,34.34,28.18,0
80,4,11,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,12,12,12,24.58,30.39,34.34,28.18,0
81,4,12,10,1,18980,486,17.5,2350,30,1.5,0, ,3,23.6,1.116071429,Q,68.15,0,3,2750,2,0.000611621,0,13,13,13,24.58,30.39,34.34,28.18,0
82,4,13,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,2,2,2,24.58,30.39,34.34,28.18,0
83,4,14,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,3,3,3,24.58,30.39,34.34,28.18,0
84,4,15,10,1,18980,486,17.5,2060,30,3.9,0, ,3,23.6,2.901785714,D,59.74,0,3,2750,4,0.000611621,0,3,3,3,24.58,30.39,34.34,28.18,0
85,4,16,10,1,18980,486,17.5,0,45,4.1,0, ,3,23.6,3.050595238,G,0,0,3,2450,5,0.000611621,0,10,10,10,24.58,30.39,34.34,28.18,0
86,4,17,10,1,18980,486,17.5,0,45,4.1,0, ,5,23.6,3.050595238,G,0,0,5,2450,5,0.001019368,0,4,4,4,24.58,30.39,34.34,28.18,0
87,4,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
88,4,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
89,4,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
90,4,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
91,4,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
92,4,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
93,5,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
94,5,2,10,1,18980,486,17.5,2080,30,2.2,0, ,1,57.2,1.636904762,A,60.32,0,1,2750,3,0.000203874,0,14,14,14,24.58,30.39,34.34,28.18,0
95,5,3,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,12,12,12,24.58,30.39,34.34,28.18,0
96,5,4,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,7,7,7,24.58,30.39,34.34,28.18,0
97,5,5,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,9,9,9,24.58,30.39,34.34,28.18,0
98,5,6,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,2,2,2,24.58,30.39,34.34,28.18,0
99,5,7,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,8,8,8,24.58,30.39,34.34,28.18,0
100,5,8,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,13,13,13,24.58,30.39,34.34,28.18,0
101,5,9,10,1,18980,486,17.5,2280,50,0.8,0, ,1,57.2,0.595238095,N,66.12,0,1,1750,1,0.000203874,0,6,6,6,24.58,30.39,34.34,28.18,0
102,5,10,10,1,18980,486,17.5,2080,30,1.5,0, ,1,23.6,1.116071429,A,60.32,0,1,2750,2,0.000203874,0,9,9,9,24.58,30.39,34.34,28.18,0
103,5,11,10,1,18980,486,17.5,2350,30,1.5,0, ,3,23.6,1.116071429,Q,68.15,0,3,2750,2,0.000611621,0,5,5,5,24.58,30.39,34.34,28.18,0
104,5,12,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,15,15,15,24.58,30.39,34.34,28.18,0
105,5,13,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,9,9,9,24.58,30.39,34.34,28.18,0
106,5,14,10,1,18980,486,17.5,2060,30,3.9,0, ,3,23.6,2.901785714,D,59.74,0,3,2750,4,0.000611621,0,11,11,11,24.58,30.39,34.34,28.18,0
107,5,15,10,1,18980,486,17.5,2060,30,3.9,0, ,3,23.6,2.901785714,D,59.74,0,3,2750,4,0.000611621,0,9,9,9,24.58,30.39,34.34,28.18,0
108,5,16,10,1,18980,486,17.5,0,45,4.1,0, ,5,23.6,3.050595238,G,0,0,5,2450,5,0.001019368,0,12,12,12,24.58,30.39,34.34,28.18,0
109,5,17,10,1,18980,486,17.5,2210,30,2.2,0, ,5,23.6,1.636904762,M,64.09,0,5,2750,3,0.001019368,0,10,10,10,24.58,30.39,34.34,28.18,0
110,5,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
111,5,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
112,5,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
113,5,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
114,5,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
115,5,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
116,6,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
117,6,2,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,13,13,13,24.58,30.39,34.34,28.18,0
118,6,3,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,1,1,1,24.58,30.39,34.34,28.18,0
119,6,4,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,9,9,9,24.58,30.39,34.34,28.18,0
120,6,5,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,2,2,2,24.58,30.39,34.34,28.18,0
121,6,6,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,2,2,2,24.58,30.39,34.34,28.18,0
122,6,7,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,5,5,5,24.58,30.39,34.34,28.18,0
123,6,8,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,7,7,7,24.58,30.39,34.34,28.18,0
124,6,9,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,2,2,2,24.58,30.39,34.34,28.18,0
125,6,10,10,1,18980,486,17.5,2350,30,1.5,0, ,1,23.6,1.116071429,Q,68.15,0,1,2750,2,0.000203874,0,13,13,13,24.58,30.39,34.34,28.18,0
126,6,11,10,1,18980,486,17.5,2080,30,2.2,0, ,3,23.6,1.636904762,A,60.32,0,3,2750,3,0.000611621,0,13,13,13,24.58,30.39,34.34,28.18,0
127,6,12,10,1,18980,486,17.5,2080,30,2.2,0, ,3,23.6,1.636904762,A,60.32,0,3,2750,3,0.000611621,0,8,8,8,24.58,30.39,34.34,28.18,0
128,6,13,10,1,18980,486,17.5,2210,30,2.2,0, ,3,23.6,1.636904762,M,64.09,0,3,2750,3,0.000611621,0,3,3,3,24.58,30.39,34.34,28.18,0
129,6,14,10,1,18980,486,17.5,2060,30,3.9,0, ,3,23.6,2.901785714,D,59.74,0,3,2750,4,0.000611621,0,13,13,13,24.58,30.39,34.34,28.18,0
130,6,15,10,1,18980,486,17.5,0,45,4.1,0, ,5,23.6,3.050595238,G,0,0,5,2450,5,0.001019368,0,5,5,5,24.58,30.39,34.34,28.18,0
131,6,16,10,1,18980,486,17.5,2060,30,3.9,0, ,5,23.6,2.901785714,D,59.74,0,5,2750,4,0.001019368,0,1,1,1,24.58,30.39,34.34,28.18,0
132,6,17,10,1,18980,486,17.5,2210,30,2.2,0, ,5,23.6,1.636904762,M,64.09,0,5,2750,3,0.001019368,0,4,4,4,24.58,30.39,34.34,28.18,0
133,6,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
134,6,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
135,6,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
136,6,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
137,6,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
138,6,23,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,0,0,0,24.58,30.39,34.34,28.18,0
139,7,1,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,1,0.000203874,0,6,6,6,24.58,30.39,34.34,28.18,0
140,7,2,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,7,7,7,24.58,30.39,34.34,28.18,0
141,7,3,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,3,3,3,24.58,30.39,34.34,28.18,0
142,7,4,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,6,6,6,24.58,30.39,34.34,28.18,0
143,7,5,10,1,18980,486,17.5,2140,60,0.8,0, ,2,57.2,0.595238095,C,62.06,0,2,850,1,0.000407747,0,6,6,6,24.58,30.39,34.34,28.18,0
144,7,6,10,1,18980,486,17.5,2140,60,0.8,0, ,2,57.2,0.595238095,C,62.06,0,2,850,1,0.000407747,0,11,11,11,24.58,30.39,34.34,28.18,0
145,7,7,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,8,8,8,24.58,30.39,34.34,28.18,0
146,7,8,10,1,18980,486,17.5,2140,60,0.8,0, ,1,57.2,0.595238095,C,62.06,0,1,850,1,0.000203874,0,3,3,3,24.58,30.39,34.34,28.18,0
147,7,9,10,1,18980,486,17.5,2280,50,1.5,0, ,1,57.2,1.116071429,N,66.12,0,1,1750,2,0.000203874,0,1,1,1,24.58,30.39,34.34,28.18,0
148,7,10,10,1,18980,486,17.5,2280,50,1.5,0, ,3,23.6,1.116071429,N,66.12,0,3,1750,2,0.000611621,0,2,2,2,24.58,30.39,34.34,28.18,0
149,7,11,10,1,18980,486,17.5,2080,30,2.2,0, ,3,23.6,1.636904762,A,60.32,0,3,2750,3,0.000611621,0,4,4,4,24.58,30.39,34.34,28.18,0
150,7,12,10,1,18980,486,17.5,2000,60,1.5,0, ,3,23.6,1.116071429,K,58,0,3,1300,2,0.000611621,0,4,4,4,24.58,30.39,34.34,28.18,0
151,7,13,10,1,18980,486,17.5,2000,60,1.5,0, ,3,23.6,1.116071429,K,58,0,3,1300,2,0.000611621,0,2,2,2,24.58,30.39,34.34,28.18,0
