LU_ID,Land-Use,Sub Crop,PerAcreORPerCell,TopographySlopes,StreamBorder,Year,Time of Year,Frequency,Time - Cost Type ,Action - Cost Type,Fixed/Variable,Cost Name,# Labor Hours, Value ,Context and/ or Calculations ,Description,Citation,,,,,,,
2,Conservation Corn,Corn after Corn,Acre,,,1,11,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Grain Cart,,,$6.30,$3.00,$9.30,$0
2,Conservation Corn,Corn after Corn,Acre,,,1,12,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Haul,,,$7.94,$6.87,$14.81,$0
2,Conservation Corn,Corn after Corn,Acre,,,1,13,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Fixed- price per bushel,,$0.04,,,,
2,Conservation Corn,Corn after Corn,Acre,,,1,14,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Variable- price per bushel,,$0.04,,,,
2,Conservation Corn,Corn after Corn,Acre,,,1,15,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Drying,,,$9.10,$30.14,$39.24,$0
2,Conservation Corn,Corn after Corn,Acre,,,1,16,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,$0.05,,,,,
2,Conservation Corn,Corn after Corn,Acre,,,1,17,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Variable- price per bushel,,$0.17,,,,
2,Conservation Corn,Corn after Corn,Acre,,,1,18,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Handling,,,$3.21,$3.52,$6.73,$0
2,Conservation Corn,Corn after Corn,Acre,,,1,19,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,$3.15 ,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Fixed- price per bushel,,$0.02,,,,
2,Conservation Corn,Corn after Corn,Acre,,,1,20,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,$3.15 ,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Variable- price per bushel,,$0.02,,,,
2,Conservation Corn,Corn after Corn,Acre,,,1,21,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,$3.15 ,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Custom hire,,,$0.00,$0.00,$0.00,$0
2,Conservation Corn,Corn after Corn,Acre,,,1,22,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,$3.15 ,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Total per acre,,,$39.65,$50.22,$89.88,$0
2,Conservation Corn,Corn after Corn,Acre,,,1,23,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Total all acres,,,$0,$0,$0,----  
2,Conservation Corn,Corn after Corn,Acre,,,1,24,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,$1.05 ,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
2,Conservation Corn,Corn after Corn,Acre,,,1,,Annual,Other,Other,Fixed,Cash Rent Equivalent ,,$223.00 ,$223/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Labor,,, ,, , 
,,,,,,,,,,,,,,,,,,  Operator,,,$39.90,----  ,$39.90,$0
,,,,,,,,,,,,,,,,,,    Hours,,2.8,,,,
,,,,,,,,,,,,,,,,,,    Rate per hour,,$14.25,,,,
,,,,,,,,,,,,,,,,,,  Hired,,,----  ,$0.00,$0.00,$0
,,,,,,,,,,,,,,,,,,    Hours,,0,,,, 
,,,,,,,,,Weighting,%,,,,,,,,    Rate per hour,,$0.00,,,             ,             
,,,,,,,Planting,8,3,0.078947368,,,,,,,,      Total,,,$39.90,$0.00,$39.90,$0
,,,,,,,applications,9,3,0.078947368,,,,,,,,,,,,,,
,,,,,,,applications,10,3,0.078947368,,,,,,,,Land,,,,,,
,,,,,,,Harvest,19,3,0.078947368,,,,,,,,  Cash rent equivalent,,,$223.00,----  ,$223.00,$0
,,,,,,,Harvest,20,3,0.078947368,,,,,,,,,,,,,,
,,,,,,,Harvest,21,3,0.078947368,,,,,,,,"Total fixed, variable and all costs",,,,,             ,             
,,,,,,,Harvest,22,3,0.078947368,,,,,,,,  Per acre,,,$325.85,$385.13,$710.98,$0
,,,,,,,,1,1,0.026315789,,,,,,,,  Per bushel,,,$0.00,$0.00,$0.00,----  
,,,,,,,,2,1,0.026315789,,,,,,,,  All acres,,,$0,$0,$0,----  
,,,,,,,,3,1,0.026315789,,,,,,,,,,,,,,
,,,,,,,,4,1,0.026315789,,,,,,,,,,,,Return per,Acre Over,Return
,,,,,,,,5,1,0.026315789,,,,,,,,,,,,Variable Costs,All Costs,All Acres
,,,,,,,,6,1,0.026315789,,,,,,,,Gross returns,,, ,,,
,,,,,,,,7,1,0.026315789,,,,,,,,  Expected selling price,,$0.00, ,----  ,$0.00,$0
,,,,,,,,11,1,0.026315789,,,,,,,,  Government payments,,, ,----  ,$0.00,$0
,,,,,,,,12,1,0.026315789,,,,,,,,    Effective LDP rate,,$0.00,,----  ,$0.00,$0
,,,,,,,,13,1,0.026315789,,,,,,,,      Total returns,,,,----  ,$0.00,$0
,,,,,,,,14,1,0.026315789,,,,,,,,,,,,,             ,             
,,,,,,,,15,1,0.026315789,,,,,,,,Net returns,,,,-$385.13,-$710.98,$0
,,,,,,,,16,1,0.026315789,,,,,,,,,,,,,,
,,,,,,,,17,1,0.026315789,,,,,,,,,,,,,,
,,,,,,,,18,1,0.026315789,,,,,,,,,,,,,,
,,,,,,,,23,1,0.026315789,,,,,,,,,,,,,,
,,,,,,,,24,1,0.026315789,,,,,,,,,,,,,,
,,,,,,,,,38,,,,,,,,,,,,,,,
