LU_ID,Land-Use,Sub Crop,PerAcreORPerCell,TopographySlopes,StreamBorder,Year,Time of Year,Frequency,Time - Cost Type,Action - Cost Type,Fixed/Variable,Cost Name,# Labor Hours,Value,Context and/ or Calculations ,Description,Citation,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Variable,Grain Cart ,,3,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Fixed ,Haul ,,7.94,$0.04/bushel * 182 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Variable,Haul ,,6.87,$0.04/bushel * 182 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Fixed ,Drying ,,9.1,$0.05/bushel * 182 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Variable ,Drying,,30.14,$0.17/bushel * 182 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Fixed,Handling ,,3.21,$0.02/bushel * 182 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Harvest,Equipment,Variable,Handling ,,3.52,$0.02/bushel * 182 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,1,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,2,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,3,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,4,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,5,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,6,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,7,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,8,Annual,Preharvest,Labor,Variable,Labor - Operator - Planting,0.221052632,3.15,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,9,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.221052632,3.15,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,10,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.221052632,3.15,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,11,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,12,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,13,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,14,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,15,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,16,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,17,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,18,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,19,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,20,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,21,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,22,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.221052632,3.15,2.8 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,23,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,24,Annual,Other,Labor,Variable,Labor - Operator,0.073684211,1.05,2.8 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Corn,Acre,,,1,,Annual,Other,Other,Fixed,Cash Rent Equivalent ,,223,$223/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Tandem disk ,,4.6,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Field Name,,,,Expected Yield ,198, bu./acre
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Tandem disk ,,3.4,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Example,,,,Acres ,100,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Apply nitrogen ,,4.3,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Apply nitrogen ,,4.4,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,Cost per Acre,,,Total Cost
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Field cultivate ,,2.7,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Preharvest machinery ,,,Fixed,Variable,Total,All Acres
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Field cultivate ,,2.7,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Tandem disk,,,$4.60 ,$3.40 ,$8.00 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Plant ,,5.9,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Apply nitrogen,,,$4.30 ,$4.40 ,$8.70 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Plant ,,4.8,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Field cultivate,,,$2.70 ,$2.70 ,$5.40 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Fixed,Spray ,,2.2,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Plant,,,$5.90 ,$4.80 ,$10.70 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Equipment,Variable,Spray ,,2,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Spray,,,$2.20 ,$2.00 ,$4.20 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Input,Variable,Seed ,,95.8,"$3.19/1000 kernels * 30,000 kernels/acre",,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Custom hire,,,$0.00 ,$0.00 ,$0.00 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Input,Variable,Nitrogen,,49.78,$0.38/lb * 131 lbs/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Other,,,$0.00 ,$0.00 ,$0.00 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Input,Variable,Phosphate ,,31.08,$0.42/lb * 74 lbs/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Other,,,$0.00 ,$0.00 ,$0.00 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Input,Variable,Potash ,,18.29,$0.31/lb * 59 lbs/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Total per acre,,,$19.70 ,$17.30 ,$37.00 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Input,Variable,Lime,,5.71,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Total all acres,,,$0 ,$0 ,$0 ,----
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Preharvest,Input,Variable,Herbicide ,,48.36,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Constant,Other,Variable,Crop Insurance,,9.5,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,"Seed, chemicals, etc.",,,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Constant,Other,Variable,Miscellaneous,,10,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Seed,,,----  ,$95.80 ,$95.80 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Fixed,Combine ,,13.1,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    cost per 1000 kernels,,$3.19 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Variable,Combine ,,6.7,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    kernels per acre,,"30,000",,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Fixed,Grain Cart ,,6.3,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Nitrogen,,,----  ,$49.78 ,$49.78 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Variable,Grain Cart ,,3,,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    price per pound,,$0.38 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Fixed,Haul,,8.64,$0.04/bushel * 198 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    pounds per acre,,131,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Variable,Haul ,,7.47,$0.04/bushel * 198 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Phosphate,,,----  ,$31.08 ,$31.08 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Fixed,Drying ,,9.9,$0.05/bushel * 198 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    price per pound,,$0.42 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Variable,Drying ,,32.79,$0.17/bushel * 198 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    pounds per acre,,74,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Fixed,Handling ,,3.49,$0.02/bushel * 198 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Potash,,,----  ,$18.29 ,$18.29 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Harvest,Equipment,Variable,Handling ,,3.83,$0.02/bushel * 198 bushels/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    price per pound,,$0.31 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,1,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    pounds per acre,,59,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,2,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Lime (annual cost),,,----  ,$5.71 ,$5.71 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,3,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Herbicide,,,----  ,$48.36 ,$48.36 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,4,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Crop insurance,,,----  ,$9.50 ,$9.50 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,5,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Miscellaneous,,,----  ,$10.00 ,$10.00 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,6,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,  Interest on preharvest variable costs,,,----  ,$11.43 ,$11.43 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,7,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    length of period (months),,8,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,8,Annual,Preharvest,Labor,Variable,Labor - Operator - Planting,0.201315789,2.87,2.55 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    interest rate,,6.00%,,,             ,
1,Conventional Corn,Corn after Soybean,Acre,,,1,9,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.201315789,2.87,2.55 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,      Total,,,----,$279.95 ,$279.95 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,10,Annual,Preharvest,Labor,Variable,Labor - Operator - Application,0.201315789,2.87,2.55 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,,,,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,11,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Harvest machinery,,,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,12,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Combine,,,$13.10 ,$6.70 ,$19.80 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,13,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Grain Cart,,,$6.30 ,$3.00 ,$9.30 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,14,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Haul,,,$8.64 ,$7.47 ,$16.11 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,15,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Fixed- price per bushel,,$0.04 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,16,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Variable- price per bushel,,$0.04 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,17,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Drying,,,$9.90 ,$32.79 ,$42.69 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,18,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Fixed- price per bushel,,$0.05 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,19,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.201315789,2.87,2.55 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Variable- price per bushel,,$0.17 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,20,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.201315789,2.87,2.55 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Handling,,,$3.49 ,$3.83 ,$7.32 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,21,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.201315789,2.87,2.55 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Fixed- price per bushel,,$0.02 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,22,Annual,Harvest,Labor,Variable,Labor - Operator - Harvest,0.201315789,2.87,2.55 hrs/acre * $14.25/hr * .078947368,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Variable- price per bushel,,$0.02 ,,,,
1,Conventional Corn,Corn after Soybean,Acre,,,1,23,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,Custom hire,,,$0.00 ,$0.00 ,$0.00 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,24,Annual,Constant,Labor,Variable,Labor - Operator,0.067105263,0.96,2.55 hrs/acre * $14.25/hr * .026315789,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Total per acre,,,$41.43 ,$53.79 ,$95.22 ,$0
1,Conventional Corn,Corn after Soybean,Acre,,,1,,Annual,Constant,Other,Fixed,Cash Rent Equivalent ,,223,$223/acre,,https://www.extension.iastate.edu/agdm/crops/html/a1-20.html,    Total all acres,,,$0 ,$0 ,$0 ,----
15,Mixed Fruits & Vegetables,Grapes (Conventional),,,,1,,,Establishment,Custom,Variable,Drainage Tile Installation - Custom,,4360,,,http://publications.dyson.cornell.edu/outreach/extensionpdf/2014/Cornell-Dyson-eb1401.pdf,,,,,,,
15,Mixed Fruits & Vegetables,Grapes (Conventional),,,,1,,,Establishment,Input,Variable,Lime (2 tons/acre) - Material Costs,,90,,,http://publications.dyson.cornell.edu/outreach/extensionpdf/2014/Cornell-Dyson-eb1401.pdf,,,,,,,
15,Mixed Fruits & Vegetables,Grapes (Conventional),,,,1,,,Establishment,Input,Variable,Lime (2 tons/acre) - Custom,,10,,,http://publications.dyson.cornell.edu/outreach/extensionpdf/2014/Cornell-Dyson-eb1401.pdf,,,,,,,
